7.615 1.225 2.485 
1.135 9.415 4.375 
3.565 5.905 3.745 
5.725 8.245 3.115 
4.735 4.195 1.495 
9.775 3.745 2.935 
1.765 9.235 8.515 
2.575 6.265 4.285 
2.485 5.275 7.975 
4.285 2.575 6.445 
4.645 4.555 7.795 
4.825 2.665 9.325 
9.415 2.845 6.805 
9.145 1.855 7.615 
2.035 5.095 1.135 
1.585 6.805 8.605 
5.095 9.145 6.085 
4.105 7.075 5.185 
8.335 9.055 9.505 
6.715 9.505 8.785 
1.495 5.815 8.245 
5.815 7.255 5.725 
2.935 3.025 8.965 
8.425 9.955 6.265 
5.185 4.825 2.845 
6.985 6.535 9.775 
3.295 3.925 3.565 
5.365 7.975 4.555 
7.525 4.375 6.535 
7.165 4.645 7.255 
1.675 2.305 6.355 
5.995 9.325 1.315 
7.705 8.515 2.395 
9.595 1.135 9.865 
6.445 6.985 2.665 
4.375 6.445 9.685 
5.905 1.045 1.045 
1.045 3.205 9.955 
4.465 9.595 9.595 
8.515 5.185 3.475 
2.395 9.865 3.385 
7.255 2.395 5.905 
7.075 3.385 3.655 
2.215 5.545 8.155 
6.625 2.485 1.855 
1.945 8.605 1.765 
3.385 7.525 6.895 
8.965 7.165 6.625 
2.305 8.965 8.425 
2.125 6.085 5.095 
8.605 1.495 4.735 
9.865 4.465 2.305 
7.795 1.315 2.125 
7.345 8.785 4.105 
9.685 3.655 7.705 
3.655 5.725 9.235 
5.005 2.125 2.035 
6.265 6.895 7.345 
6.355 5.635 7.435 
6.175 2.035 3.835 
3.835 8.065 2.215 
3.745 5.455 4.015 
3.475 4.285 5.365 
7.975 1.675 1.945 
6.805 7.345 5.815 
3.925 5.365 5.455 
4.015 5.005 7.165 
2.845 1.765 9.055 
3.025 8.425 1.585 
1.405 4.105 7.885 
5.545 6.625 5.275 
8.785 3.835 1.225 
9.955 7.705 3.025 
3.115 8.155 4.465 
4.915 9.775 8.875 
7.885 2.935 4.645 
5.275 1.585 6.985 
2.755 3.475 7.075 
5.455 3.295 7.525 
6.535 6.355 4.915 
8.875 2.755 5.005 
4.555 8.695 5.545 
1.855 6.175 6.175 
4.195 7.435 9.415 
5.635 8.875 5.995 
9.505 4.015 3.925 
6.895 6.715 4.195 
9.235 2.215 5.635 
8.155 4.915 1.675 
1.225 1.945 4.825 
8.065 7.615 9.145 
9.055 3.565 8.695 
7.435 3.115 6.715 
6.085 4.735 3.205 
2.665 7.885 2.755 
8.245 7.795 3.295 
3.205 1.405 8.065 
9.325 8.335 8.335 
1.315 9.685 1.405 
8.695 5.995 2.575 
